author,url
Mike Mariani,https://www.good.is/articles/the-6-variables-behind-a-kick-ass-kickstarter-project
Brian Benchoff,https://hackaday.com/2012/05/22/
Joe Linton,https://ciclavia.wordpress.com/tag/shatto-park/
Joe Linton,https://ciclavia.wordpress.com/tag/mexico-city/
Joe Linton,https://ciclavia.wordpress.com/tag/macarthur-park/
jennsu,https://ciclavia.wordpress.com/tag/los-angeles/
,https://ciclavia.wordpress.com/tag/ciclovia/
Joe Linton,https://ciclavia.wordpress.com/2010/09/09/benefit-bicycle-beauty-pageant-september-19th/
jennsu,https://ciclavia.wordpress.com/2010/07/25/our-new-t-shirts-are-here/
Joe Linton,https://ciclavia.wordpress.com/2010/06/24/planned-ciclavia-route-for-september-12th-2010/
Justin Lind,https://breakingmuscle.com/bmsearch?page=8&keys=psychology&default_text=Search
Breaking Muscle HQ,https://breakingmuscle.com/bmsearch?page=14&keys=sleep&default_text=Search
,https://breakingmuscle.com/bmsearch?page=1&keys=strongman&field_author_nid=All&term_node_tid_depth=All&term_node_tid_depth_1=All&sort_by=score&sort_order=DESC
Eileen Brown,http://www.zdnet.com/article/us-crowdfund-act-good-news-for-micro-investors-and-entrepreneurs/
Tim Maly,http://www.wired.com/2012/04/kickstarter-internet-toys/
David Pierce,http://www.theverge.com/2012/5/17/2997361/buying-set-top-box-buying-guide
About Author,http://www.larping.org/larp-articles/larp-kickstarter-bloody-stump/
Andrew Liszewski,http://www.gizmodo.com.au/2012/04/vase-shaped-stand-lets-your-tv-blossom/
Julian Horsey,http://www.geeky-gadgets.com/battlestar-galactica-viper-full-motion-flight-simulator-video-22-03-2012/
Ray Walters,http://www.geek.com/news/working-on-battlestar-galactica-flight-sim-1477877/
Noemi Tasarra-Twigg,http://www.forevergeek.com/2012/03/the-viper-full-motion-flight-simulator/
Erin Carstens,http://www.dudeiwantthat.com/gear/computers/simpletv-hdtv-dvr-for-cable-cutters.asp
Molly McHugh,http://www.digitaltrends.com/home-theater/dvr-concept-device-simple-tv-edges-closer-to-reality-with-its-kickstarter-campaign/
David Britton,http://www.dailydot.com/entertainment/kenny-g-kickstarter-brian-mcginn-rod-blackhurst/
